"","DATE","CONSUMPTION"
"1","1973-01",144505.194
"2","1973-02",139546.088
"3","1973-03",137102.316
"4","1973-04",131365.928
"5","1973-05",131360.946
"6","1973-06",140293.003
"7","1973-07",152562.168
"8","1973-08",157480.821
"9","1973-09",157309.577
"10","1973-10",146041.974
"11","1973-11",138141.74
"12","1973-12",137199.026
"13","1974-01",143986.102
"14","1974-02",136737.112
"15","1974-03",135951.806
"16","1974-04",133007.088
"17","1974-05",133077.165
"18","1974-06",141930.937
"19","1974-07",151511.234
"20","1974-08",158112.467
"21","1974-09",153619.101
"22","1974-10",141355.276
"23","1974-11",135783.782
"24","1974-12",140851.656
"25","1975-01",149394.254
"26","1975-02",142973.173
"27","1975-03",140749.395
"28","1975-04",135833.27
"29","1975-05",133567.894
"30","1975-06",142995.634
"31","1975-07",154204.005
"32","1975-08",160901.832
"33","1975-09",157741.267
"34","1975-10",141817.659
"35","1975-11",139259.589
"36","1975-12",147652.655
"37","1976-01",160538.972
"38","1976-02",153548.606
"39","1976-03",147464.833
"40","1976-04",142310.388
"41","1976-05",141804.01
"42","1976-06",149038.662
"43","1976-07",163006.465
"44","1976-08",168630.829
"45","1976-09",164411.861
"46","1976-10",150984.548
"47","1976-11",150740.813
"48","1976-12",162766.107
"49","1977-01",172350.883
"50","1977-02",165298.16
"51","1977-03",156204.425
"52","1977-04",147926.369
"53","1977-05",148602.006
"54","1977-06",159294.092
"55","1977-07",174997.802
"56","1977-08",178590.072
"57","1977-09",172261.551
"58","1977-10",159348.318
"59","1977-11",151312.143
"60","1977-12",162175.391
"61","1978-01",176649
"62","1978-02",169927
"63","1978-03",163406
"64","1978-04",150385
"65","1978-05",151504
"66","1978-06",165519
"67","1978-07",179114
"68","1978-08",184223
"69","1978-09",182638
"70","1978-10",166722
"71","1978-11",159126
"72","1978-12",168709
"73","1979-01",185387
"74","1979-02",181515
"75","1979-03",173249
"76","1979-04",161557
"77","1979-05",159551
"78","1979-06",166860
"79","1979-07",178339
"80","1979-08",187309
"81","1979-09",179640
"82","1979-10",165948
"83","1979-11",162271
"84","1979-12",169473
"85","1980-01",179585
"86","1980-02",178721
"87","1980-03",174373
"88","1980-04",161701
"89","1980-05",154851
"90","1980-06",164872
"91","1980-07",185882
"92","1980-08",196464
"93","1980-09",190139
"94","1980-10",170080
"95","1980-11",162174
"96","1980-12",175607
"97","1981-01",191949.087
"98","1981-02",182207.239
"99","1981-03",172826.352
"100","1981-04",163524.824
"101","1981-05",163172.827
"102","1981-06",178827.384
"103","1981-07",197814.44
"104","1981-08",198459.287
"105","1981-09",186250.025
"106","1981-10",171349.69
"107","1981-11",165016.324
"108","1981-12",175705.384
"109","1982-01",192079.166
"110","1982-02",182805.174
"111","1982-03",173959.12
"112","1982-04",164511.66
"113","1982-05",158569.4
"114","1982-06",168739.125
"115","1982-07",183566.97
"116","1982-08",189740.405
"117","1982-09",178295.927
"118","1982-10",163416.303
"119","1982-11",160479.567
"120","1982-12",170278.534
"121","1983-01",179175.753
"122","1983-02",173464.871
"123","1983-03",167583.542
"124","1983-04",163807.406
"125","1983-05",158919.003
"126","1983-06",171604.279
"127","1983-07",194153.338
"128","1983-08",208115.006
"129","1983-09",201922.127
"130","1983-10",176307.148
"131","1983-11",170473.691
"132","1983-12",185428.408
"133","1984-01",207251.507
"134","1984-02",190869.475
"135","1984-03",186072.361
"136","1984-04",175350.115
"137","1984-05",175542.351
"138","1984-06",189758.447
"139","1984-07",204473.661
"140","1984-08",209045.694
"141","1984-09",199021.37
"142","1984-10",182285.344
"143","1984-11",178588.865
"144","1984-12",187537.204
"145","1985-01",202596.81
"146","1985-02",202266.299
"147","1985-03",186112.884
"148","1985-04",178530.004
"149","1985-05",178781.45
"150","1985-06",190305.001
"151","1985-07",205200.802
"152","1985-08",210659.871
